"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-01",100.9908,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-02",100.7611,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-03",100.5371,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-04",100.3424,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-05",100.143,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-06",99.88104,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-07",99.51311,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-08",99.1116,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-09",98.78202,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-10",98.61411,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-11",98.56092,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1990-12",98.57458,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-01",98.62728,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-02",98.66549,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-03",98.62154,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-04",98.4398,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-05",98.18501,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-06",97.93437,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-07",97.74283,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-08",97.60405,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-09",97.51333,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-10",97.47759,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-11",97.47749,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1991-12",97.50308,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-01",97.55394,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-02",97.61356,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-03",97.66289,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-04",97.68503,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-05",97.68026,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-06",97.64391,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-07",97.57112,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-08",97.4932,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-09",97.45387,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-10",97.49069,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-11",97.5778,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1992-12",97.68571,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-01",97.79061,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-02",97.86312,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-03",97.85979,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-04",97.74722,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-05",97.60183,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-06",97.52944,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-07",97.61761,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-08",97.8149,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-09",98.06802,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-10",98.3497,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-11",98.63084,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1993-12",98.8884,
