"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1989-10",99.88205,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1989-11",99.70709,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1989-12",99.57527,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-01",99.46021,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-02",99.36234,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-03",99.32087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-04",99.3532,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-05",99.40842,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-06",99.42067,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-07",99.35999,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-08",99.22622,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-09",99.0363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-10",98.82019,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-11",98.60976,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1990-12",98.47367,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-01",98.46667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-02",98.614,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-03",98.88834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-04",99.19297,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-05",99.4917,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-06",99.77966,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-07",100.0545,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-08",100.2985,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-09",100.4579,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-10",100.5097,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-11",100.482,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1991-12",100.4237,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-01",100.3952,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-02",100.4171,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-03",100.4608,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-04",100.4617,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-05",100.3258,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-06",100.0382,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-07",99.67213,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-08",99.34586,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-09",99.14609,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-10",99.10665,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-11",99.20197,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1992-12",99.38682,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-01",99.59506,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-02",99.81404,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-03",100.0325,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-04",100.2438,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-05",100.436,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-06",100.5972,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-07",100.7556,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-08",100.9091,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-09",101.0167,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-10",101.0665,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-11",101.0596,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1993-12",101.006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-01",100.9124,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-02",100.7546,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-03",100.5609,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-04",100.3883,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-05",100.2715,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-06",100.2018,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-07",100.1536,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-08",100.1138,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-09",100.0489,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-10",99.95462,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-11",99.8432,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1994-12",99.72932,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1995-01",99.65571,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1995-02",99.6243,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1995-03",99.62543,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1995-04",99.66162,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1995-05",99.7278,
