DATE,A053RC1Q027SBEA
1990-01-01,389.554
1990-04-01,406.69
1990-07-01,414.315
1990-10-01,412.052
1991-01-01,419.655
1991-04-01,420.589
1991-07-01,427.351
1991-10-01,434.284
1992-01-01,460.234
1992-04-01,476.926
1992-07-01,456.448
1992-10-01,473.111
1993-01-01,476.366
1993-04-01,503.128
1993-07-01,508.489
1993-10-01,560.399
1994-01-01,569.189
1994-04-01,591.648
1994-07-01,629.705
1994-10-01,653.542
1995-01-01,672.292
1995-04-01,692.346
1995-07-01,707.332
1995-10-01,710.943
1996-01-01,738.865
1996-04-01,753.681
1996-07-01,750.994
1996-10-01,767.718
1997-01-01,782.583
1997-04-01,806.995
1997-07-01,842.423
1997-10-01,836.112
1998-01-01,761.336
1998-04-01,757.345
1998-07-01,760.731
1998-10-01,739.763
1999-01-01,778.933
1999-04-01,792.128
1999-07-01,796.885
1999-10-01,822.903
2000-01-01,808.353
2000-04-01,801.031
2000-07-01,776.963
2000-10-01,759.341
2001-01-01,751.482
2001-04-01,764.468
2001-07-01,694.937
2001-10-01,659.188
2002-01-01,705.832
2002-04-01,768.231
2002-07-01,831.287
2002-10-01,922.151
2003-01-01,939.402
2003-04-01,939.08
2003-07-01,1002.684
2003-10-01,1081.171
2004-01-01,1206.185
2004-04-01,1268.751
2004-07-01,1335.237
2004-10-01,1344.039
2005-01-01,1642.162
2005-04-01,1656.689
2005-07-01,1709.452
2005-10-01,1816.575
2006-01-01,1854.762
2006-04-01,1905.439
2006-07-01,1946.625
2006-10-01,1867.629
2007-01-01,1803.019
2007-04-01,1875.794
2007-07-01,1786.175
2007-10-01,1791.645
2008-01-01,1623.619
2008-04-01,1633.242
2008-07-01,1555.041
2008-10-01,943.079
2009-01-01,1297.893
2009-04-01,1394.694
2009-07-01,1588.807
2009-10-01,1741.262
2010-01-01,1827.302
2010-04-01,1823.027
2010-07-01,1925.708
2010-10-01,1938.802
2011-01-01,1798.958
2011-04-01,1865.262
2011-07-01,1848.535
2011-10-01,1968.023
2012-01-01,2256.375
2012-04-01,2194.357
2012-07-01,2220.271
2012-10-01,2190.469
2013-01-01,2191.813
2013-04-01,2181.01
2013-07-01,2226.937
2013-10-01,2280.899
2014-01-01,2251.736
2014-04-01,2377.615
2014-07-01,2408.545
2014-10-01,2379.115
2015-01-01,2290.774
2015-04-01,2318.349
2015-07-01,2234.367
2015-10-01,2106.688
2016-01-01,2180.464
2016-04-01,2243.841
2016-07-01,2244.05
2016-10-01,2291.483
2017-01-01,2324.533
2017-04-01,2310.962
2017-07-01,2371.175
2017-10-01,2173.803
2018-01-01,2269.424
2018-04-01,2365.255
2018-07-01,2313.748
2018-10-01,2321.84
2019-01-01,2326.006
2019-04-01,2350.614
2019-07-01,2385.234
2019-10-01,2438.24
2020-01-01,2278.277
2020-04-01,2113.677
2020-07-01,2873.938
2020-10-01,2713.632
2021-01-01,3023.678
2021-04-01,3343.023
2021-07-01,3313.318
2021-10-01,3316.526
2022-01-01,3439.029
2022-04-01,3696.173
2022-07-01,3558.213
2022-10-01,3398.386
2023-01-01,3457.564
2023-04-01,3473.11
