DATE,A939RX0Q048SBEA
1990-01-01,40361.0
1990-04-01,40382.0
1990-07-01,40266.0
1990-10-01,39759.0
1991-01-01,39451.0
1991-04-01,39632.0
1991-07-01,39691.0
1991-10-01,39694.0
1992-01-01,40051.0
1992-04-01,40350.0
1992-07-01,40599.0
1992-10-01,40881.0
1993-01-01,40829.0
1993-04-01,40942.0
1993-07-01,40997.0
1993-10-01,41423.0
1994-01-01,41713.0
1994-04-01,42154.0
1994-07-01,42264.0
1994-10-01,42618.0
1995-01-01,42654.0
1995-04-01,42660.0
1995-07-01,42885.0
1995-10-01,43044.0
1996-01-01,43259.0
1996-04-01,43856.0
1996-07-01,44105.0
1996-10-01,44421.0
1997-01-01,44590.0
1997-04-01,45203.0
1997-07-01,45616.0
1997-10-01,45862.0
1998-01-01,46204.0
1998-04-01,46504.0
1998-07-01,46943.0
1998-10-01,47555.0
1999-01-01,47880.0
1999-04-01,48148.0
1999-07-01,48632.0
1999-10-01,49281.0
2000-01-01,49335.0
2000-04-01,50109.0
2000-07-01,50024.0
2000-10-01,50190.0
2001-01-01,49911.0
2001-04-01,50105.0
2001-07-01,49774.0
2001-10-01,49783.0
2002-01-01,50091.0
2002-04-01,50286.0
2002-07-01,50362.0
2002-10-01,50302.0
2003-01-01,50462.0
2003-04-01,50796.0
2003-07-01,51512.0
2003-10-01,51986.0
2004-01-01,52179.0
2004-04-01,52469.0
2004-07-01,52835.0
2004-10-01,53242.0
2005-01-01,53719.0
2005-04-01,53868.0
2005-07-01,54153.0
2005-10-01,54317.0
2006-01-01,54927.0
2006-04-01,54945.0
2006-07-01,54886.0
2006-10-01,55216.0
2007-01-01,55260.0
2007-04-01,55474.0
2007-07-01,55649.0
2007-10-01,55857.0
2008-01-01,55497.0
2008-04-01,55705.0
2008-07-01,55278.0
2008-10-01,53941.0
2009-01-01,53221.0
2009-04-01,53017.0
2009-07-01,53081.0
2009-10-01,53531.0
2010-01-01,53683.0
2010-04-01,54100.0
2010-07-01,54401.0
2010-10-01,54569.0
2011-01-01,54341.0
2011-04-01,54610.0
2011-07-01,54482.0
2011-10-01,54979.0
2012-01-01,55342.0
2012-04-01,55490.0
2012-07-01,55454.0
2012-10-01,55403.0
2013-01-01,55859.0
2013-04-01,55914.0
2013-07-01,56272.0
2013-10-01,56642.0
2014-01-01,56345.0
2014-04-01,56968.0
2014-07-01,57536.0
2014-10-01,57702.0
2015-01-01,58121.0
2015-04-01,58376.0
2015-07-01,58486.0
2015-10-01,58470.0
2016-01-01,58704.0
2016-04-01,58787.0
2016-07-01,59084.0
2016-10-01,59296.0
2017-01-01,59494.0
2017-04-01,59736.0
2017-07-01,60099.0
2017-10-01,60674.0
2018-01-01,61093.0
2018-04-01,61336.0
2018-07-01,61622.0
2018-10-01,61619.0
2019-01-01,61889.0
2019-04-01,62331.0
2019-07-01,62945.0
2019-10-01,63257.0
2020-01-01,62333.0
2020-04-01,57386.0
2020-07-01,61806.0
2020-10-01,62414.0
2021-01-01,63227.0
2021-04-01,64157.0
2021-07-01,64615.0
2021-10-01,65651.0
2022-01-01,65286.0
2022-04-01,65127.0
2022-07-01,65462.0
2022-10-01,65783.0
2023-01-01,66078.0
2023-04-01,66341.0
2023-07-01,67039.0
