DATE,ADPWNUSNERSA
2010-01-02,104139000
2010-01-09,104075000
2010-01-16,104041000
2010-01-23,103977000
2010-01-30,104072000
2010-02-06,104022000
2010-02-13,103998000
2010-02-20,103918000
2010-02-27,103946000
2010-03-06,103999000
2010-03-13,104000000
2010-03-20,104070000
2010-03-27,104086000
2010-04-03,104172000
2010-04-10,104214000
2010-04-17,104277000
2010-04-24,104327000
2010-05-01,104270000
2010-05-08,104273000
2010-05-15,104364000
2010-05-22,104295000
2010-05-29,104349000
2010-06-05,104296000
2010-06-12,104377000
2010-06-19,104420000
2010-06-26,104472000
2010-07-03,104511000
2010-07-10,104636000
2010-07-17,104647000
2010-07-24,104645000
2010-07-31,104688000
2010-08-07,104708000
2010-08-14,104723000
2010-08-21,104747000
2010-08-28,104635000
2010-09-04,104708000
2010-09-11,104833000
2010-09-18,104847000
2010-09-25,104882000
2010-10-02,104829000
2010-10-09,104836000
2010-10-16,104878000
2010-10-23,104886000
2010-10-30,104904000
2010-11-06,104979000
2010-11-13,105109000
2010-11-20,105121000
2010-11-27,104881000
2010-12-04,105124000
2010-12-11,104967000
2010-12-18,105002000
2010-12-25,105125000
2011-01-01,105216000
2011-01-08,105280000
2011-01-15,105312000
2011-01-22,105329000
2011-01-29,105372000
2011-02-05,105422000
2011-02-12,105474000
2011-02-19,105540000
2011-02-26,105593000
2011-03-05,105698000
2011-03-12,105808000
2011-03-19,105921000
2011-03-26,105975000
2011-04-02,106047000
2011-04-09,106059000
2011-04-16,106118000
2011-04-23,106193000
2011-04-30,106270000
2011-05-07,106340000
2011-05-14,106342000
2011-05-21,106454000
2011-05-28,106543000
2011-06-04,106594000
2011-06-11,106611000
2011-06-18,106685000
2011-06-25,106722000
2011-07-02,106805000
2011-07-09,106850000
2011-07-16,106929000
2011-07-23,106998000
2011-07-30,107063000
2011-08-06,107100000
2011-08-13,107133000
2011-08-20,107195000
2011-08-27,107239000
2011-09-03,107321000
2011-09-10,107388000
2011-09-17,107383000
2011-09-24,107410000
2011-10-01,107451000
2011-10-08,107537000
2011-10-15,107584000
2011-10-22,107621000
2011-10-29,107669000
2011-11-05,107753000
2011-11-12,107789000
2011-11-19,107839000
2011-11-26,107893000
2011-12-03,107804000
2011-12-10,107828000
2011-12-17,107916000
2011-12-24,107925000
2011-12-31,108047000
2012-01-07,108049000
2012-01-14,108132000
2012-01-21,108183000
2012-01-28,108263000
2012-02-04,108352000
2012-02-11,108395000
2012-02-18,108425000
2012-02-25,108509000
2012-03-03,108582000
2012-03-10,108626000
2012-03-17,108665000
2012-03-24,108730000
2012-03-31,108774000
2012-04-07,108845000
2012-04-14,108928000
2012-04-21,108985000
2012-04-28,109032000
2012-05-05,109079000
2012-05-12,109151000
2012-05-19,109212000
2012-05-26,109244000
2012-06-02,109225000
2012-06-09,109347000
2012-06-16,109336000
2012-06-23,109360000
2012-06-30,109314000
2012-07-07,109300000
2012-07-14,109318000
2012-07-21,109370000
2012-07-28,109432000
2012-08-04,109534000
2012-08-11,109574000
2012-08-18,109584000
2012-08-25,109680000
2012-09-01,109768000
2012-09-08,109769000
2012-09-15,109801000
2012-09-22,109907000
2012-09-29,109971000
2012-10-06,109909000
2012-10-13,109974000
2012-10-20,110031000
2012-10-27,110117000
2012-11-03,110153000
2012-11-10,110111000
2012-11-17,110186000
2012-11-24,110189000
2012-12-01,110003000
2012-12-08,109944000
2012-12-15,110161000
2012-12-22,110244000
2012-12-29,110359000
2013-01-05,110312000
2013-01-12,110400000
2013-01-19,110509000
2013-01-26,110558000
2013-02-02,110590000
2013-02-09,110635000
2013-02-16,110657000
2013-02-23,110784000
