DATE,CRESTKCPIXSLTRM159SFRBATL
1990-01-01,4.822856029
1990-02-01,5.031079288
1990-03-01,5.303906087
1990-04-01,5.351799613
1990-05-01,5.31986806
1990-06-01,5.323128292
1990-07-01,5.450405969
1990-08-01,5.595561284
1990-09-01,5.756736053
1990-10-01,5.927836892
1990-11-01,5.986898052
1990-12-01,5.931108988
1991-01-01,5.892445985
1991-02-01,5.969654811
1991-03-01,5.688757212
1991-04-01,5.458749504
1991-05-01,5.425526299
1991-06-01,5.346449158
1991-07-01,5.34390024
1991-08-01,5.29195285
1991-09-01,5.205393976
1991-10-01,4.817330952
1991-11-01,4.745608697
1991-12-01,4.71446042
1992-01-01,4.445747263
1992-02-01,4.163214266
1992-03-01,4.332185452
1992-04-01,4.603002259
1992-05-01,4.341717761
1992-06-01,4.117433092
1992-07-01,4.074927358
1992-08-01,3.784513638
1992-09-01,3.513001876
1992-10-01,3.94624992
1992-11-01,4.020574807
1992-12-01,3.977330867
1993-01-01,4.002560042
1993-02-01,4.031632081
1993-03-01,3.772410133
1993-04-01,3.623012199
1993-05-01,3.878999787
1993-06-01,3.983087543
1993-07-01,3.791908022
1993-08-01,3.981609066
1993-09-01,4.106148292
1993-10-01,3.89330059
1993-11-01,3.91185649
1993-12-01,3.969689548
1994-01-01,3.833698155
1994-02-01,3.674349265
1994-03-01,3.797974737
1994-04-01,3.701972731
1994-05-01,3.438798539
1994-06-01,3.504072458
1994-07-01,3.529782281
1994-08-01,3.371862514
1994-09-01,3.266627155
1994-10-01,3.056246571
1994-11-01,2.939279564
1994-12-01,2.855262807
1995-01-01,3.215963946
1995-02-01,3.329231313
1995-03-01,3.378890907
1995-04-01,3.458447433
1995-05-01,3.45236246
1995-06-01,3.333695037
1995-07-01,3.327014277
1995-08-01,3.341919129
1995-09-01,3.462535087
1995-10-01,3.619018684
1995-11-01,3.508459799
1995-12-01,3.313826743
1996-01-01,3.112474382
1996-02-01,3.147715249
1996-03-01,2.973113165
1996-04-01,2.825029276
1996-05-01,2.974947591
1996-06-01,3.03337667
1996-07-01,2.940379122
1996-08-01,2.954373851
1996-09-01,3.001260615
1996-10-01,2.87204749
1996-11-01,2.94568016
1996-12-01,3.195905757
1997-01-01,2.895185483
1997-02-01,2.592152721
1997-03-01,2.766958911
1997-04-01,2.808384624
1997-05-01,2.735186996
1997-06-01,2.62154572
1997-07-01,2.639952339
1997-08-01,2.369091309
1997-09-01,2.159686496
1997-10-01,2.261217479
1997-11-01,2.112656709
1997-12-01,2.038263976
1998-01-01,2.22116412
1998-02-01,2.319800807
1998-03-01,2.179793439
1998-04-01,2.125562858
1998-05-01,2.071958539
1998-06-01,1.993407301
1998-07-01,1.989129972
1998-08-01,2.048850877
1998-09-01,1.96334397
1998-10-01,1.818572599
1998-11-01,1.844425937
1998-12-01,1.773549128
1999-01-01,1.7181243
1999-02-01,1.6405057
1999-03-01,1.5843154
1999-04-01,1.6040989
1999-05-01,1.5091399
1999-06-01,1.4515877
1999-07-01,1.5852
1999-08-01,1.6143607
1999-09-01,1.6068148
1999-10-01,1.7067772
1999-11-01,1.8147011
1999-12-01,1.8867598
2000-01-01,1.952939
2000-02-01,1.9666339
2000-03-01,2.137968
2000-04-01,2.0139276
