"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.28249,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.34004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.4823,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.65987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.82919,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.02133,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.26843,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.60779,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.01203,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.42773,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.81541,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.1147,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.2311,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",99.99981,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",99.82761,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.70126,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.61063,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.65681,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",99.93585,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.5495,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.5361,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.6955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.7222,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.3692,
