Date,fomc,decision
2004/01/28,1,2
2004/03/16,1,2
2004/05/04,1,2
2004/06/30,1,3
2004/08/10,1,3
2004/09/21,1,3
2004/11/10,1,3
2004/12/14,1,3
2005/02/02,1,3
2005/03/22,1,3
2005/05/03,1,3
2005/06/30,1,3
2005/08/09,1,3
2005/09/20,1,3
2005/11/01,1,3
2005/12/13,1,3
2006/01/31,1,3
2006/03/28,1,3
2006/05/10,1,3
2006/06/29,1,3
2006/08/08,1,2
2006/09/20,1,2
2006/10/25,1,2
2006/12/12,1,2
2007/01/31,1,2
2007/03/21,1,2
2007/05/09,1,2
2007/06/28,1,2
2007/08/07,1,2
2007/09/18,1,1
2007/10/31,1,1
2007/12/11,1,1
2008/01/30,1,1
2008/03/18,1,1
2008/04/30,1,1
2008/06/25,1,2
2008/08/05,1,2
2008/09/16,1,2
2008/10/29,1,1
2008/12/16,1,1
2009/01/28,1,2
2009/03/18,1,2
2009/04/29,1,2
2009/06/24,1,2
2009/08/12,1,2
2009/09/23,1,2
2009/11/04,1,2
2009/12/16,1,2
2010/01/27,1,2
2010/03/16,1,2
2010/04/28,1,2
2010/06/23,1,2
2010/08/10,1,2
2010/09/21,1,2
2010/11/03,1,2
2010/12/14,1,2
2011/01/26,1,2
2011/03/15,1,2
2011/04/27,1,2
2011/06/22,1,2
2011/08/09,1,2
2011/09/21,1,2
2011/11/02,1,2
2011/12/13,1,2
2012/01/25,1,2
2012/03/13,1,2
2012/04/25,1,2
2012/06/20,1,2
2012/08/01,1,2
2012/09/13,1,2
2012/10/24,1,2
2012/12/12,1,2
2013/01/30,1,2
2013/03/20,1,2
2013/05/01,1,2
2013/06/19,1,2
2013/07/31,1,2
2013/09/18,1,2
2013/10/30,1,2
2013/12/18,1,2
2014/01/29,1,2
2014/03/19,1,2
2014/04/30,1,2
2014/06/18,1,2
2014/07/30,1,2
2014/09/17,1,2
2014/10/29,1,2
2014/12/17,1,2
2015/01/28,1,2
2015/03/18,1,2
2015/04/29,1,2
2015/06/17,1,2
2015/07/29,1,2
2015/09/17,1,2
2015/10/28,1,2
2015/12/16,1,3
2016/01/27,1,2
2016/03/16,1,2
2016/04/27,1,2
2016/06/15,1,2
2016/07/27,1,2
2016/09/21,1,2
2016/11/02,1,2
2016/12/14,1,3
2017/02/01,1,2
2017/03/15,1,3
2017/05/03,1,3
2017/06/14,1,3
2017/07/26,1,2
2017/09/20,1,2
2017/11/01,1,2
2017/12/13,1,3
2018/01/31,1,2
2018/03/21,1,3
2018/05/02,1,2
2018/06/13,1,3
2018/08/01,1,2
2018/09/26,1,3
2018/11/08,1,2
2018/12/19,1,3
2019/01/30,1,2
2019/03/20,1,2
2019/05/01,1,2
2019/06/19,1,2
2019/07/31,1,1
2019/09/18,1,1
2019/10/30,1,1
2019/12/11,1,2
2020/01/29,1,1
2020/03/15,1,1
2020/04/29,1,2
2020/06/10,1,2
2020/07/29,1,2
2020/08/27,1,2
2020/09/16,1,2
2020/11/05,1,2
2020/12/16,1,2
2021/01/27,1,2
2021/03/17,1,2
2021/04/28,1,2
2021/06/16,1,2
2021/07/28,1,2
2021/09/22,1,2
2021/11/03,1,2
2021/12/15,1,2
2022/01/26,1,2
2022/03/16,1,3
2022/05/04,1,3
2022/06/15,1,3
2022/07/27,1,3
2022/09/21,1,3
2022/11/02,1,3
2022/12/14,1,3
2023/02/01,1,3
2023/03/22,1,3
2023/05/03,1,3
2023/06/14,1,2
2023/07/26,1,3
2023/09/20,1,3
