DATE,PCE
1990-01-01,3730.7
1990-02-01,3728.2
1990-03-01,3754.9
1990-04-01,3770.0
1990-05-01,3775.8
1990-06-01,3804.5
1990-07-01,3821.7
1990-08-01,3848.3
1990-09-01,3870.1
1990-10-01,3870.6
1990-11-01,3871.9
1990-12-01,3861.3
1991-01-01,3841.0
1991-02-01,3866.7
1991-03-01,3913.0
1991-04-01,3907.1
1991-05-01,3933.2
1991-06-01,3940.5
1991-07-01,3966.0
1991-08-01,3969.1
1991-09-01,3984.7
1991-10-01,3976.0
1991-11-01,4003.6
1991-12-01,4020.5
1992-01-01,4084.7
1992-02-01,4099.5
1992-03-01,4117.0
1992-04-01,4131.5
1992-05-01,4158.4
1992-06-01,4177.1
1992-07-01,4204.8
1992-08-01,4220.9
1992-09-01,4255.3
1992-10-01,4284.7
1992-11-01,4300.5
1992-12-01,4336.4
1993-01-01,4340.7
1993-02-01,4355.3
1993-03-01,4352.5
1993-04-01,4393.4
1993-05-01,4422.4
1993-06-01,4440.0
1993-07-01,4468.9
1993-08-01,4481.1
1993-09-01,4511.5
1993-10-01,4532.8
1993-11-01,4554.1
1993-12-01,4571.1
1994-01-01,4585.1
1994-02-01,4632.6
1994-03-01,4646.0
1994-04-01,4671.1
1994-05-01,4669.5
1994-06-01,4708.9
1994-07-01,4720.6
1994-08-01,4762.6
1994-09-01,4775.0
1994-10-01,4812.9
1994-11-01,4825.6
1994-12-01,4841.6
1995-01-01,4851.2
1995-02-01,4850.8
1995-03-01,4885.4
1995-04-01,4890.2
1995-05-01,4933.1
1995-06-01,4977.5
1995-07-01,4970.2
1995-08-01,5005.3
1995-09-01,5020.5
1995-10-01,5013.9
1995-11-01,5055.6
1995-12-01,5097.5
1996-01-01,5085.7
1996-02-01,5132.8
1996-03-01,5173.3
1996-04-01,5208.0
1996-05-01,5223.8
1996-06-01,5229.8
1996-07-01,5251.9
1996-08-01,5275.0
1996-09-01,5296.6
1996-10-01,5328.5
1996-11-01,5351.2
1996-12-01,5378.6
1997-01-01,5411.1
1997-02-01,5434.0
1997-03-01,5454.2
1997-04-01,5459.3
1997-05-01,5460.2
1997-06-01,5494.2
1997-07-01,5548.8
1997-08-01,5587.0
1997-09-01,5601.7
1997-10-01,5637.7
1997-11-01,5661.1
1997-12-01,5692.1
1998-01-01,5689.9
1998-02-01,5723.8
1998-03-01,5750.3
1998-04-01,5788.1
1998-05-01,5837.9
1998-06-01,5871.7
1998-07-01,5890.0
1998-08-01,5925.0
1998-09-01,5965.6
1998-10-01,5998.8
1998-11-01,6015.4
1998-12-01,6070.5
1999-01-01,6073.9
1999-02-01,6099.2
1999-03-01,6133.0
1999-04-01,6199.5
1999-05-01,6232.1
1999-06-01,6260.3
1999-07-01,6287.6
1999-08-01,6331.9
1999-09-01,6386.5
1999-10-01,6411.4
1999-11-01,6448.7
1999-12-01,6541.0
2000-01-01,6542.9
2000-02-01,6625.3
2000-03-01,6686.5
2000-04-01,6679.1
2000-05-01,6709.7
2000-06-01,6746.9
2000-07-01,6768.5
2000-08-01,6802.8
2000-09-01,6888.6
2000-10-01,6893.8
2000-11-01,6909.8
2000-12-01,6952.2
2001-01-01,6987.4
2001-02-01,7001.8
