DATE,QFRTCASHINFUSNO
2009-10-01,75704
2010-01-01,75101
2010-04-01,73659
2010-07-01,81497
2010-10-01,83621
2011-01-01,93589
2011-04-01,91199
2011-07-01,89108
2011-10-01,92733
2012-01-01,93935
2012-04-01,95111
2012-07-01,107305
2012-10-01,98107
2013-01-01,93393
2013-04-01,85433
2013-07-01,146981
2013-10-01,149664
2014-01-01,95859
2014-04-01,98397
2014-07-01,122459
2014-10-01,117539
2015-01-01,98198
2015-04-01,101412
2015-07-01,91710
2015-10-01,92839
2016-01-01,107492
2016-04-01,104624
2016-07-01,118183
2016-10-01,116162
2017-01-01,121464
2017-04-01,111385
2017-07-01,157427
2017-10-01,149715
2018-01-01,156478
2018-04-01,136813
2018-07-01,134561
2018-10-01,139445
2019-01-01,123508
2019-04-01,126995
2019-07-01,120227
2019-10-01,155655
2020-01-01,170156
2020-04-01,239587
2020-07-01,221081
2020-10-01,245243
2021-01-01,261600
2021-04-01,268350
2021-07-01,270392
2021-10-01,260115
2022-01-01,249787
2022-04-01,192861.0
2022-07-01,185265.0
2022-10-01,182632.0
2023-01-01,178418.0
2023-04-01,220548.0
