DATE,TOTBUSSMSA
1992-01-01,517626
1992-02-01,520289
1992-03-01,530715
1992-04-01,533290
1992-05-01,536742
1992-06-01,541482
1992-07-01,545177
1992-08-01,541368
1992-09-01,546733
1992-10-01,545987
1992-11-01,550285
1992-12-01,552282
1993-01-01,558864
1993-02-01,558311
1993-03-01,554939
1993-04-01,560899
1993-05-01,568488
1993-06-01,566266
1993-07-01,566307
1993-08-01,566668
1993-09-01,571317
1993-10-01,577000
1993-11-01,577705
1993-12-01,577177
1994-01-01,584335
1994-02-01,588455
1994-03-01,595174
1994-04-01,596719
1994-05-01,600167
1994-06-01,605009
1994-07-01,610274
1994-08-01,619487
1994-09-01,619872
1994-10-01,628003
1994-11-01,631779
1994-12-01,642382
1995-01-01,644664
1995-02-01,645312
1995-03-01,641172
1995-04-01,649536
1995-05-01,647742
1995-06-01,654819
1995-07-01,653374
1995-08-01,657867
1995-09-01,664775
1995-10-01,662186
1995-11-01,665470
1995-12-01,678351
1996-01-01,660384
1996-02-01,659667
1996-03-01,676171
1996-04-01,677571
1996-05-01,684012
1996-06-01,688433
1996-07-01,687240
1996-08-01,689698
1996-09-01,695693
1996-10-01,695132
1996-11-01,703118
1996-12-01,700632
1997-01-01,703995
1997-02-01,717856
1997-03-01,718114
1997-04-01,718072
1997-05-01,714459
1997-06-01,722329
1997-07-01,727789
1997-08-01,727996
1997-09-01,731885
1997-10-01,730220
1997-11-01,737474
1997-12-01,733753
1998-01-01,731998
1998-02-01,740145
1998-03-01,741535
1998-04-01,740194
1998-05-01,742797
1998-06-01,736319
1998-07-01,733450
1998-08-01,738109
1998-09-01,743466
1998-10-01,750044
1998-11-01,752546
1998-12-01,755797
1999-01-01,757956
1999-02-01,765555
1999-03-01,765106
1999-04-01,769819
1999-05-01,780742
1999-06-01,782058
1999-07-01,785830
1999-08-01,795418
1999-09-01,796663
1999-10-01,805363
1999-11-01,809613
1999-12-01,817543
2000-01-01,825947
2000-02-01,816007
2000-03-01,831117
2000-04-01,834242
2000-05-01,829024
2000-06-01,839338
2000-07-01,833896
2000-08-01,829271
2000-09-01,845436
2000-10-01,838446
2000-11-01,834423
2000-12-01,841752
2001-01-01,834365
2001-02-01,836825
2001-03-01,823781
2001-04-01,818875
2001-05-01,827229
2001-06-01,815240
2001-07-01,812016
2001-08-01,817526
2001-09-01,803309
2001-10-01,815803
2001-11-01,808360
2001-12-01,805951
2002-01-01,805181
2002-02-01,808150
2002-03-01,808563
2002-04-01,822418
2002-05-01,822178
2002-06-01,825351
2002-07-01,825966
2002-08-01,835091
2002-09-01,831076
2002-10-01,830434
2002-11-01,836972
2002-12-01,830107
2003-01-01,841529
2003-02-01,841323
2003-03-01,850659
2003-04-01,835469
2003-05-01,837930
2003-06-01,848248
2003-07-01,856894
2003-08-01,859181
2003-09-01,865241
2003-10-01,868785
2003-11-01,874171
2003-12-01,876257
2004-01-01,878019
2004-02-01,887806
2004-03-01,911253
2004-04-01,906616
2004-05-01,916039
2004-06-01,915029
2004-07-01,918548
2004-08-01,928981
2004-09-01,935978
2004-10-01,949671
2004-11-01,956327
2004-12-01,967456
2005-01-01,973388
2005-02-01,978260
2005-03-01,978707
2005-04-01,993902
2005-05-01,987542
2005-06-01,999114
2005-07-01,1004208
2005-08-01,1014570
2005-09-01,1027244
2005-10-01,1034863
2005-11-01,1035265
2005-12-01,1046749
2006-01-01,1058602
2006-02-01,1056372
2006-03-01,1060723
2006-04-01,1059698
2006-05-01,1073680
2006-06-01,1076046
2006-07-01,1071396
2006-08-01,1084083
2006-09-01,1067874
2006-10-01,1063937
2006-11-01,1070361
2006-12-01,1096569
2007-01-01,1082091
2007-02-01,1095538
2007-03-01,1108213
2007-04-01,1115465
2007-05-01,1127789
2007-06-01,1125542
2007-07-01,1124246
2007-08-01,1130809
2007-09-01,1138202
2007-10-01,1152584
2007-11-01,1173602
2007-12-01,1164417
2008-01-01,1180989
2008-02-01,1176755
2008-03-01,1176168
2008-04-01,1196243
2008-05-01,1205632
2008-06-01,1222487
2008-07-01,1217043
2008-08-01,1193539
2008-09-01,1165351
2008-10-01,1113932
2008-11-01,1036611
2008-12-01,998134
2009-01-01,979554
2009-02-01,984028
2009-03-01,956201
2009-04-01,953946
2009-05-01,961072
2009-06-01,977826
2009-07-01,983449
2009-08-01,997449
2009-09-01,999487
2009-10-01,1010189
2009-11-01,1029230
2009-12-01,1038095
2010-01-01,1047178
2010-02-01,1050244
2010-03-01,1070644
2010-04-01,1082454
2010-05-01,1075534
2010-06-01,1075836
2010-07-01,1084103
2010-08-01,1090464
2010-09-01,1098273
2010-10-01,1116843
2010-11-01,1129325
2010-12-01,1143324
2011-01-01,1170066
2011-02-01,1169401
2011-03-01,1197357
2011-04-01,1203580
2011-05-01,1197554
2011-06-01,1204833
2011-07-01,1211720
2011-08-01,1218908
2011-09-01,1218847
2011-10-01,1228410
2011-11-01,1230776
2011-12-01,1238138
2012-01-01,1254363
2012-02-01,1266131
2012-03-01,1268317
2012-04-01,1270960
2012-05-01,1263184
2012-06-01,1243304
2012-07-01,1247423
2012-08-01,1259800
2012-09-01,1274751
2012-10-01,1272284
2012-11-01,1284328
2012-12-01,1284570
2013-01-01,1294460
2013-02-01,1312640
2013-03-01,1293434
2013-04-01,1286660
2013-05-01,1302058
2013-06-01,1297477
2013-07-01,1300254
2013-08-01,1307226
2013-09-01,1308739
2013-10-01,1315839
2013-11-01,1325898
2013-12-01,1326266
2014-01-01,1316565
2014-02-01,1331444
2014-03-01,1341448
2014-04-01,1351282
2014-05-01,1352590
2014-06-01,1352547
2014-07-01,1361238
2014-08-01,1360186
2014-09-01,1355857
2014-10-01,1348870
2014-11-01,1340758
2014-12-01,1327695
2015-01-01,1298766
2015-02-01,1294803
2015-03-01,1303482
2015-04-01,1310188
2015-05-01,1311308
2015-06-01,1315961
2015-07-01,1316802
2015-08-01,1306694
2015-09-01,1303656
2015-10-01,1298014
2015-11-01,1291352
2015-12-01,1278040
2016-01-01,1269577
2016-02-01,1268715
2016-03-01,1272728
2016-04-01,1280201
2016-05-01,1282652
2016-06-01,1298465
2016-07-01,1292779
2016-08-01,1297013
2016-09-01,1301685
2016-10-01,1307594
2016-11-01,1306556
2016-12-01,1332859
2017-01-01,1339998
2017-02-01,1342192
2017-03-01,1337842
2017-04-01,1339880
2017-05-01,1336154
2017-06-01,1340636
2017-07-01,1341403
2017-08-01,1355483
2017-09-01,1373595
2017-10-01,1384787
2017-11-01,1405256
2017-12-01,1416369
2018-01-01,1405906
2018-02-01,1417029
2018-03-01,1415595
2018-04-01,1424121
2018-05-01,1448251
2018-06-01,1442883
2018-07-01,1446138
2018-08-01,1451630
2018-09-01,1453489
2018-10-01,1457208
2018-11-01,1450127
2018-12-01,1430111
2019-01-01,1425097
2019-02-01,1432353
2019-03-01,1441302
2019-04-01,1438497
2019-05-01,1446071
2019-06-01,1437757
2019-07-01,1439521
2019-08-01,1439516
2019-09-01,1431833
2019-10-01,1422165
2019-11-01,1430447
2019-12-01,1429010
2020-01-01,1424371
2020-02-01,1420566
2020-03-01,1336911
2020-04-01,1141868
2020-05-01,1242802
2020-06-01,1353122
2020-07-01,1403475
2020-08-01,1419158
2020-09-01,1432718
2020-10-01,1448241
2020-11-01,1452913
2020-12-01,1484781
2021-01-01,1532156
2021-02-01,1508846
2021-03-01,1588213
2021-04-01,1605656
2021-05-01,1607943
2021-06-01,1629252
2021-07-01,1644160
2021-08-01,1646813
2021-09-01,1665277
2021-10-01,1699733
2021-11-01,1727241
2021-12-01,1732462
2022-01-01,1773910
2022-02-01,1795138
2022-03-01,1836218
2022-04-01,1846445
2022-05-01,1854827
2022-06-01,1877083.0
2022-07-01,1850912.0
2022-08-01,1853265.0
2022-09-01,1853353.0
2022-10-01,1862020
2022-11-01,1842417
2022-12-01,1830079
2023-01-01,1851731
2023-02-01,1848051
2023-03-01,1820425
2023-04-01,1819130
2023-05-01,1821163.0
2023-06-01,1817784.0
2023-07-01,1832603.0
2023-08-01,1857197.0
