,fed_party,potus_party,recess,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
1989-10-04,1.0,1.0,0.0,3.94,5.3,13.581,1410.0,99.70527,10.5,6.2,0.8,2.9,7.283,9.0,-0.010000000000000231,0.09999999999999964,-2.966000000000001,78.0,0.016949999999994247,0.0,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,350.9949843795882,103.29466829714694,-0.12231019450532181,-0.07992851707662091
1989-11-15,1.0,1.0,0.0,3.92,5.4,13.37,1351.0,99.72887,10.5,6.2,0.8,2.9,7.283,9.0,-0.03000000000000025,0.20000000000000018,-3.1770000000000014,19.0,0.04054999999999609,0.0,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,353.1105082493674,102.98606721548299,-0.17189897235947285,-0.06766780966298375
1989-12-20,1.0,1.0,0.0,3.94,5.4,13.55,1251.0,99.75903,10.5,6.2,0.8,2.9,7.283,8.5,-0.010000000000000231,0.20000000000000018,-2.997,-81.0,0.07070999999999117,0.0,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,-0.5,349.0276453766244,102.9924726629286,-0.05060295571053268,-0.06651046475165201
1990-02-08,1.0,1.0,0.0,3.82,5.3,14.363,1437.0,99.82359,10.0,18.5,4.4,4.4,7.356,8.25,-0.1200000000000001,0.0,0.782,27.0,0.1183199999999971,-0.5,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.75,345.254825521092,99.87523095664268,-0.046728155402248284,-0.07091564492048988
1990-03-28,1.0,1.0,0.0,3.95,5.2,14.486,1289.0,99.82265,10.0,18.5,4.4,4.4,7.356,8.25,0.03000000000000025,-0.20000000000000018,1.1160000000000014,-62.0,0.09377999999999531,-0.5,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.25,349.5960406812067,94.56866514141456,-0.16286481467769026,-0.01699015971795426
1990-05-16,1.0,1.0,0.0,3.8,5.4,14.022,1212.0,99.5741,10.0,5.1,1.5,4.6,7.391,8.25,-0.050000000000000266,0.0,-2.2859999999999996,-339.0,-0.2191399999999959,0.0,-13.4,-2.9000000000000004,0.1999999999999993,0.03500000000000014,0.0,330.3112492712701,92.97915431880287,0.09727172024235355,0.000892377595148285
1990-07-05,1.0,1.0,0.0,3.96,5.5,14.081,1171.0,98.88528,10.0,3.1,0.3,3.5,7.377,8.25,0.009999999999999787,0.2999999999999998,-0.40500000000000114,-118.0,-0.9373700000000014,0.0,-15.4,-4.1000000000000005,-0.9000000000000004,0.020999999999999908,0.0,333.06964476070834,94.12616907304508,0.2435059604873738,-0.022106477250530488
1990-08-22,1.0,1.0,1.0,4.14,5.7,13.859,1115.0,98.40642,10.0,3.1,0.3,3.5,7.377,8.25,0.23999999999999977,0.2999999999999998,-0.4220000000000006,-133.0,-1.3403100000000023,0.0,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,350.94218232579914,93.94244972708097,0.01625321480422221,-0.05443613012557591
1990-10-03,1.0,1.0,1.0,4.01,5.9,13.749,1014.0,97.50216,10.0,3.6,-3.6,3.0,7.303,8.0,0.06999999999999984,0.7000000000000002,-0.3999999999999986,-163.0,-1.7828599999999994,0.0,-1.4999999999999996,-5.1,-1.5999999999999996,-0.08800000000000008,-0.25,373.51088703134565,92.72308950901193,-0.5471535927680975,-0.07101690743794387
1990-11-14,1.0,1.0,1.0,3.88,6.2,13.134,1145.0,97.21283,10.0,3.6,-3.6,3.0,7.303,8.0,-0.08000000000000007,0.7000000000000002,-0.9469999999999992,-26.0,-1.6724499999999978,0.0,0.5,-3.9,-0.5,-0.07399999999999984,-0.25,349.8912413743126,89.05364495790023,-0.4556525379593853,-0.060414196442358264
1990-12-18,1.0,1.0,1.0,3.84,6.3,12.958,969.0,97.09945,10.0,3.6,-3.6,3.0,7.303,7.5,-0.2999999999999998,0.5999999999999996,-0.9009999999999998,-146.0,-1.3069699999999926,0.0,0.5,-3.9,-0.5,-0.07399999999999984,-0.75,312.90393448582364,86.42849229986108,0.03896889984325639,-0.04381079487075601
