,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
1989-10-04,1.0,1.0,0.0,0.0,3.94,5.3,13.581,1410.0,99.70527,10.5,6.2,0.8,2.9,7.283,9.0,-0.010000000000000231,0.09999999999999964,-2.966000000000001,78.0,0.016949999999994247,0.0,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,350.9949843795882,103.29466829714694,-0.12231019450532181,-0.07992851707662091
1989-11-15,1.0,1.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,10.5,6.2,0.8,2.9,7.283,9.0,0.1200000000000001,0.10000000000000053,-2.290000000000001,72.0,0.03794000000000608,0.0,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,351.69241302951076,101.02315930253081,-0.24095188997017397,-0.058406515880501865
1989-12-20,1.0,1.0,0.0,0.0,3.94,5.4,13.55,1251.0,99.75903,10.5,6.2,0.8,2.9,7.283,8.5,0.0,0.10000000000000053,-0.030999999999998806,-159.0,0.05375999999999692,0.0,0.0,0.0,0.0,0.0,-0.5,337.03711207580477,99.16129472251129,0.21079278612296834,-0.06599303125586681
1990-02-08,1.0,1.0,0.0,-1.0,3.82,5.3,14.363,1437.0,99.82359,10.0,18.5,4.4,4.4,7.356,8.25,-0.1200000000000001,-0.10000000000000053,0.8129999999999988,186.0,0.06456000000000017,-0.5,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.25,355.77751239761034,94.60732212236563,-0.44911900014829403,-0.04414085567136981
1990-03-28,1.0,1.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,10.0,18.5,4.4,4.4,7.356,8.25,0.10000000000000009,-0.20000000000000018,-1.8219999999999992,-262.0,0.029409999999998604,0.0,0.0,0.0,0.0,0.0,0.0,326.71478189887097,91.6732906817532,0.22209782318313245,0.04487719185144274
1990-05-16,1.0,1.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,10.0,5.1,1.5,4.6,7.391,8.25,-0.15000000000000036,0.20000000000000018,-0.4640000000000004,-77.0,-0.2485499999999945,0.0,-13.4,-2.9000000000000004,0.1999999999999993,0.03500000000000014,0.0,339.5019024092629,94.52195266971327,0.006884657176733068,-0.044422105781615706
1990-07-05,1.0,1.0,0.0,0.0,3.96,5.5,14.081,1171.0,98.88528,10.0,3.1,0.3,3.5,7.377,8.25,0.16000000000000014,0.09999999999999964,0.058999999999999275,-41.0,-0.6888200000000069,0.0,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,350.5239422928258,91.94727954117924,0.20986070429135031,0.002414261812250119
1990-08-22,1.0,1.0,1.0,0.0,4.14,5.7,13.859,1115.0,98.40642,10.0,3.1,0.3,3.5,7.377,8.25,0.19999999999999973,0.5,-0.28999999999999915,-62.0,-0.8786000000000058,0.0,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,366.50062288980877,92.07783503717484,-0.4925466186384673,-0.10279101631575606
1990-10-03,1.0,1.0,1.0,0.0,4.01,5.9,13.749,1014.0,97.50216,10.0,3.6,-3.6,3.0,7.303,8.0,-0.1299999999999999,0.20000000000000018,-0.10999999999999943,-101.0,-0.9042599999999936,0.0,0.5,-3.9,-0.5,-0.07399999999999984,-0.25,338.2597540885323,86.89834555934043,-0.545438075743414,-0.02280830748947083
1990-11-14,1.0,1.0,1.0,0.0,3.88,6.2,13.134,1145.0,97.21283,10.0,3.6,-3.6,3.0,7.303,8.0,-0.25,0.2999999999999998,-1.1639999999999997,35.0,-0.7092700000000036,0.0,0.5,-3.9,-0.5,-0.07399999999999984,0.0,310.35780818473387,86.1053982259753,-0.04018559025205561,-0.07903609788443566
1990-12-18,1.0,1.0,1.0,-1.0,3.84,6.3,12.958,969.0,97.09945,10.0,3.6,-3.6,3.0,7.303,7.5,-0.16999999999999993,0.39999999999999947,-0.7910000000000004,-45.0,-0.402709999999999,0.0,0.0,0.0,0.0,0.0,-0.5,305.34488920428555,82.40005521946209,0.3851168052908143,-0.0025668484287448483
1991-02-07,1.0,1.0,1.0,-1.0,3.73,6.6,12.409,965.0,97.38148,9.0,2.5,-1.9,4.0,7.247,7.0,-0.10999999999999988,0.2999999999999998,-0.5489999999999995,-4.0,0.2820299999999918,-1.0,-1.1,1.7000000000000002,1.0,-0.05600000000000005,-0.5,323.2583851948681,83.53810814142832,0.18699828816985828,-0.01282853646839509
1991-03-27,1.0,1.0,1.0,0.0,3.43,6.8,12.848,921.0,97.7066,9.0,2.5,-1.9,4.0,7.247,6.25,-0.3899999999999997,0.39999999999999947,1.0190000000000001,123.0,0.545109999999994,-0.5,0.0,0.0,0.0,0.0,-0.75,346.67960016809064,79.78357838757418,0.5548666692640535,0.15038151635924363
1991-05-15,1.0,1.0,0.0,0.0,3.45,6.9,12.487,996.0,98.4444,8.5,15.4,3.2,3.0,7.212,6.0,0.020000000000000018,0.10000000000000053,-0.36100000000000065,75.0,0.7378000000000071,-0.5,12.9,5.1,-1.0,-0.03500000000000014,-0.25,372.2496104433333,89.24263408662829,0.17007528877383496,0.06913669348470489
1991-07-05,1.0,1.0,0.0,0.0,3.1,6.8,12.972,1063.0,99.03812,8.5,9.8,2.0,3.2,7.166,5.75,-0.3500000000000001,-0.10000000000000053,0.48499999999999943,67.0,0.5937200000000047,0.0,-5.6,-1.2000000000000002,0.20000000000000018,-0.045999999999999375,-0.25,378.71170276742527,91.18935473110243,-0.024549280953064485,0.09092581712358058
