,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1989-10-04,1.0,1.0,0.0,0.0,3.8,5.3,15.66,1279.0,99.69093,4.1,3.0,3.0,7.307,9.0,3.4,-0.15000000000000036,0.09999999999999964,-0.8870000000000005,-53.0,0.002609999999990009,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,352.01476338704424,102.61128474644251,10.5,-0.20510371018524623,-0.023016729274717398,0.0
1989-11-15,1.0,1.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,6.2,0.8,2.9,7.283,9.0,3.5,-0.03000000000000025,0.20000000000000018,-3.1770000000000014,19.0,0.04054999999999609,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,0.0,352.97567517321545,103.17909118012115,10.5,-0.16660868556813255,-0.0750205081446489,0.0
1989-12-20,1.0,1.0,0.0,0.0,3.94,5.4,13.55,1251.0,99.75903,6.2,0.8,2.9,7.283,8.5,3.5,-0.010000000000000231,0.20000000000000018,-2.997,-81.0,0.07070999999999117,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,-0.5,0.0,349.7477707941222,102.87227718387031,10.5,-0.0697539280618256,-0.06333092143938296,0.0
1990-02-08,1.0,1.0,0.0,-1.0,3.85,5.4,16.308,1551.0,99.79324,18.5,4.4,4.4,7.356,8.25,4.1,-0.08999999999999986,0.10000000000000053,2.7270000000000003,141.0,0.08796999999999855,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.75,0.49999999999999956,344.2139313512318,99.92846658155264,10.64187643020595,-0.019641080527121057,-0.07230634919730089,-0.004374152001782063
1990-03-28,1.0,1.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,18.5,4.4,4.4,7.356,8.25,3.7,0.03000000000000025,-0.20000000000000018,1.1160000000000014,-62.0,0.09377999999999531,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.25,0.20000000000000018,350.3619335369514,94.76378323040693,10.53020594965675,-0.18278377883134614,-0.022063533693116876,-0.006123812802494891
1990-05-16,1.0,1.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,5.1,1.5,4.6,7.391,8.25,3.4,-0.050000000000000266,0.0,-2.2859999999999996,-339.0,-0.2191399999999959,-13.4,-2.9000000000000004,0.1999999999999993,0.03500000000000014,0.0,-0.6999999999999997,331.21867108261375,92.76077652384905,10.0,0.07382572566735565,0.0065706510256646035,0.0
1990-07-05,1.0,1.0,0.0,0.0,3.94,5.2,14.149,1177.0,99.28502,5.1,1.5,4.6,7.391,8.25,3.8,-0.010000000000000231,0.0,-0.3370000000000015,-112.0,-0.537629999999993,-13.4,-2.9000000000000004,0.1999999999999993,0.03500000000000014,0.0,0.09999999999999964,332.74947825416547,94.06500645804095,10.0,0.25184900234334656,-0.020529529229082657,0.0
1990-08-22,1.0,1.0,1.0,0.0,4.14,5.7,13.859,1115.0,98.40642,3.1,0.3,3.5,7.377,8.25,4.6,0.23999999999999977,0.2999999999999998,-0.4220000000000006,-133.0,-1.3403100000000023,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,0.9999999999999996,348.44834529547904,93.7442754703292,10.0,0.0809732164865093,-0.04928076555530916,0.0
1990-10-03,1.0,1.0,1.0,0.0,4.13,5.9,14.298,1110.0,97.9221,3.1,0.3,3.5,7.377,8.0,4.7,0.18999999999999995,0.7000000000000002,0.1490000000000009,-67.0,-1.3629200000000026,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,-0.25,0.9000000000000004,373.16592494286624,92.87711965995922,10.0,-0.5380229183087405,-0.07501965803937906,0.0
1990-11-14,1.0,1.0,1.0,0.0,3.88,6.2,13.134,1145.0,97.21283,3.6,-3.6,3.0,7.303,8.0,4.7,-0.08000000000000007,0.7000000000000002,-0.9469999999999992,-26.0,-1.6724499999999978,0.5,-3.9,-0.5,-0.07399999999999984,-0.25,1.3000000000000003,351.66134880525664,89.05668389664453,10.0,-0.5014941619090041,-0.06049246072011148,0.0
