,fed_party,potus_party,recess,mom,change,pce,ue,cars,house,cli,prime,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_prime,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b1_spx,b1_usd
1989-10-04,1.0,1.0,0.0,0.0,0.0,3.8,5.3,15.66,1279.0,99.69093,10.5,4.1,3.0,3.0,7.307,9.0,3.4,-0.15000000000000036,0.09999999999999964,-0.8870000000000005,-53.0,0.002609999999990009,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,352.01476338704424,102.61128474644251,-0.20510371018524623,-0.023016729274717398
1989-11-15,1.0,1.0,0.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,10.5,6.2,0.8,2.9,7.283,9.0,3.5,0.1200000000000001,0.10000000000000053,-2.290000000000001,72.0,0.03794000000000608,0.0,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,0.10000000000000009,351.84606532857873,101.280681345519,-0.2489151632033781,-0.07228286245879362
1989-12-20,1.0,1.0,0.0,0.0,-25.0,3.94,5.4,13.55,1251.0,99.75903,10.5,6.2,0.8,2.9,7.283,8.5,3.5,0.0,0.10000000000000053,-0.030999999999998806,-159.0,0.05375999999999692,0.0,0.0,0.0,0.0,0.0,-0.5,-0.10000000000000009,337.15442975490583,98.88117782130387,0.20349455641318862,-0.050785173605527464
1990-02-08,1.0,1.0,0.0,-1.0,0.0,3.85,5.4,16.308,1551.0,99.79324,10.0,18.5,4.4,4.4,7.356,8.25,4.1,-0.08999999999999986,0.0,2.757999999999999,300.0,0.03421000000000163,-0.5,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.25,0.5999999999999996,355.82780465790717,94.59843788018532,-0.45146848119870564,-0.04372861472134004
1990-03-28,1.0,1.0,0.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,10.0,18.5,4.4,4.4,7.356,8.25,3.7,0.10000000000000009,-0.20000000000000018,-1.8219999999999992,-262.0,0.029409999999998604,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999999999999947,326.24384533403696,91.70182601980088,0.24745800962715303,0.04329941060535341
1990-05-16,1.0,1.0,0.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,10.0,5.1,1.5,4.6,7.391,8.25,3.4,-0.15000000000000036,0.20000000000000018,-0.4640000000000004,-77.0,-0.2485499999999945,0.0,-13.4,-2.9000000000000004,0.1999999999999993,0.03500000000000014,0.0,-0.30000000000000027,342.0311388420336,94.3019282434123,-0.12914849919820254,-0.032448706854995915
1990-07-05,1.0,1.0,0.0,0.0,0.0,3.94,5.2,14.149,1177.0,99.28502,10.0,5.1,1.5,4.6,7.391,8.25,3.8,0.14000000000000012,-0.20000000000000018,0.1269999999999989,-35.0,-0.28907999999999845,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,349.5702516292482,91.67052630286427,0.26184934452871844,0.017317674890208495
1990-08-22,1.0,1.0,1.0,0.0,0.0,4.14,5.7,13.859,1115.0,98.40642,10.0,3.1,0.3,3.5,7.377,8.25,4.6,0.19999999999999973,0.5,-0.28999999999999915,-62.0,-0.8786000000000058,0.0,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,0.7999999999999998,364.4433403451836,91.96960162538471,-0.38166352336193576,-0.09686826688120512
1990-10-03,1.0,1.0,1.0,0.0,0.0,4.13,5.9,14.298,1110.0,97.9221,10.0,3.1,0.3,3.5,7.377,8.0,4.7,-0.009999999999999787,0.20000000000000018,0.43900000000000006,-5.0,-0.48431999999999675,0.0,0.0,0.0,0.0,0.0,-0.25,0.10000000000000053,338.111373418429,86.9513952390112,-0.5359708442491691,-0.0256920417740569
1990-11-14,1.0,1.0,1.0,0.0,-25.0,3.88,6.2,13.134,1145.0,97.21283,10.0,3.6,-3.6,3.0,7.303,8.0,4.7,-0.25,0.2999999999999998,-1.1639999999999997,35.0,-0.7092700000000036,0.0,0.5,-3.9,-0.5,-0.07399999999999984,0.0,0.0,311.5315270009667,86.20793214020907,-0.10250345109779997,-0.08459003696401664
