,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1989-10-04,1.0,1.0,0.0,0.0,3.94,5.3,13.581,1410.0,99.70527,6.2,0.8,2.9,7.283,9.0,3.6,-0.010000000000000231,0.09999999999999964,-2.966000000000001,78.0,0.016949999999994247,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,0.10000000000000009,351.2333553035085,103.22729191663788,10.5,-0.1406464195609317,-0.0747457185784601,0.0
1989-11-15,1.0,1.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,6.2,0.8,2.9,7.283,9.0,3.5,-0.020000000000000018,0.10000000000000053,-0.2110000000000003,-59.0,0.02360000000000184,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,354.78623574286803,99.59780469090266,10.5,-0.552543501903787,-0.04179266687054262,0.0
1989-12-20,1.0,1.0,0.0,0.0,3.94,5.4,13.55,1251.0,99.75903,6.2,0.8,2.9,7.283,8.5,3.5,0.020000000000000018,0.0,0.1800000000000015,-100.0,0.03015999999999508,0.0,0.0,0.0,0.0,-0.5,0.0,336.8847339377586,99.16020965576172,10.5,0.3941047322874703,-0.1132787471864282,0.0
1990-02-08,1.0,1.0,0.0,-1.0,3.82,5.3,14.363,1437.0,99.82359,18.5,4.4,4.4,7.356,8.25,4.1,-0.1200000000000001,-0.10000000000000053,0.8129999999999988,186.0,0.06456000000000017,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,0.0,0.5999999999999996,357.315052524261,93.24658426424352,10.449477351916377,-0.8413379682481082,-0.01899993710401602,-0.015156794425087113
1990-03-28,1.0,1.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,18.5,4.4,4.4,7.356,8.25,3.7,0.13000000000000034,-0.09999999999999964,0.12300000000000111,-148.0,-0.0009399999999999409,0.0,0.0,0.0,0.0,0.0,-0.39999999999999947,328.5162397112165,92.03170816242071,10.0,0.3095539425308282,0.06453660041197688,0.0
1990-05-16,1.0,1.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,5.1,1.5,4.6,7.391,8.25,3.4,-0.10000000000000009,0.0,-0.25900000000000034,-36.0,-0.17262999999999806,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,339.34860218858887,93.97529676483899,10.0,-0.005003351616942523,-0.054008735098489864,0.0
1990-07-05,1.0,1.0,0.0,0.0,3.96,5.5,14.081,1171.0,98.88528,3.1,0.3,3.5,7.377,8.25,3.4,0.16000000000000014,0.09999999999999964,0.058999999999999275,-41.0,-0.6888200000000069,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,0.0,361.1314945021573,92.92926958462918,10.0,-0.07745287958337899,-0.03218298323893823,0.0
1990-08-22,1.0,1.0,1.0,0.0,4.14,5.7,13.859,1115.0,98.40642,3.1,0.3,3.5,7.377,8.25,4.6,0.17999999999999972,0.20000000000000018,-0.22199999999999953,-56.0,-0.4788599999999974,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,370.49724650632214,90.43658572206928,10.0,-1.0103381166890115,-0.11130487129663343,0.0
1990-10-03,1.0,1.0,1.0,0.0,4.13,5.9,14.298,1110.0,97.9221,3.1,0.3,3.5,7.377,8.0,4.7,-0.009999999999999787,0.20000000000000018,0.43900000000000006,-5.0,-0.48431999999999675,0.0,0.0,0.0,0.0,0.0,0.10000000000000053,322.4798249035347,85.91390337262835,10.0,-0.3144181414348321,0.0023658207484654023,0.0
1990-11-14,1.0,1.0,1.0,0.0,3.88,6.2,13.134,1145.0,97.21283,3.6,-3.6,3.0,7.303,8.0,4.7,-0.1299999999999999,0.2999999999999998,-0.6150000000000002,131.0,-0.28933000000000675,0.0,0.0,0.0,0.0,0.0,-0.09999999999999964,306.3590981088033,83.97456378471561,10.0,0.08447194913538486,-0.05238671651700648,0.0
1990-12-18,1.0,1.0,1.0,-1.0,3.84,6.3,12.958,969.0,97.09945,3.6,-3.6,3.0,7.303,7.5,4.7,-0.040000000000000036,0.09999999999999964,-0.17600000000000016,-176.0,-0.11337999999999226,0.0,0.0,0.0,0.0,-0.5,0.0,310.6374174643061,81.72752646203655,10.0,0.4630316491741754,0.02192854266548822,0.0
1991-02-07,1.0,1.0,1.0,-1.0,3.73,6.6,12.409,965.0,97.38148,2.5,-1.9,4.0,7.247,7.0,3.4,-0.10999999999999988,0.2999999999999998,-0.5489999999999995,-4.0,0.2820299999999918,-1.1,1.7000000000000002,1.0,-0.05600000000000005,0.0,-1.3000000000000003,317.9635944432913,84.34822369618699,9.815331010452962,0.5078813293669697,-0.05520385582687966,-0.01210801393728223
1991-03-27,1.0,1.0,1.0,0.0,3.43,6.8,12.848,921.0,97.7066,2.5,-1.9,4.0,7.247,6.25,3.3,-0.2999999999999998,0.20000000000000018,0.43900000000000006,-44.0,0.3251199999999983,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,367.3658529142054,80.77933645746849,9.0,0.11728057861328153,0.22027707249445375,0.0
1991-05-15,1.0,1.0,0.0,0.0,3.45,6.9,12.487,996.0,98.4444,15.4,3.2,3.0,7.212,6.0,3.1,0.10000000000000009,0.20000000000000018,0.44899999999999984,-5.0,0.36911999999999523,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,379.7834824618562,90.1278386398475,9.156794425087108,-0.0023693656256803925,0.08275438900193263,-0.015156794425087114
1991-07-05,1.0,1.0,0.0,0.0,3.1,6.8,12.972,1063.0,99.03812,9.8,2.0,3.2,7.166,5.75,3.1,-0.3500000000000001,-0.10000000000000053,0.48499999999999943,67.0,0.5937200000000047,-5.6,-1.2000000000000002,0.20000000000000018,-0.045999999999999375,0.0,0.0,384.4288069562214,91.8894066627848,8.5,-0.25972092791301477,0.1297857450691254,0.0
1991-08-21,1.0,1.0,0.0,0.0,2.91,6.9,12.565,1049.0,99.17667,9.8,2.0,3.2,7.166,5.75,3.2,-0.18999999999999995,0.10000000000000053,-0.40700000000000003,-14.0,0.13854999999999507,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,378.8515350660796,95.26829334750825,8.5,0.2699108907985356,-0.06752443612660286,0.0
1991-10-02,1.0,1.0,0.0,0.0,2.9,6.9,13.107,1015.0,99.20341,9.8,2.0,3.2,7.166,5.5,3.0,-0.010000000000000231,0.0,0.5419999999999998,-34.0,0.02674000000000376,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,393.33306799699204,94.12358739234845,8.64808362369338,-0.20966554435703444,-0.1100818328325756,-0.017770034843205582
1991-11-06,1.0,1.0,0.0,0.0,2.97,7.0,12.576,1103.0,99.07494,9.3,1.4,2.4,7.058,5.25,2.9,0.07000000000000028,0.09999999999999964,-0.5309999999999988,88.0,-0.1284700000000072,-0.5,-0.6000000000000001,-0.8000000000000003,-0.10800000000000054,-0.25,-0.10000000000000009,383.48550223639614,90.46620242022472,8.0,0.1644078909312402,-0.0014808787701439004,0.0
1991-12-18,1.0,1.0,0.0,-1.0,3.0,7.3,12.658,1079.0,99.03893,9.3,1.4,2.4,7.058,4.75,2.7,0.029999999999999805,0.2999999999999998,0.08199999999999896,-24.0,-0.03601000000000454,0.0,0.0,0.0,0.0,0.0,-0.19999999999999973,389.88115083382104,88.71031390997591,7.547038327526132,-0.3562282123632128,-0.06424737192612494,-0.0017421602787456455
1992-02-06,1.0,1.0,0.0,0.0,2.9,7.4,12.927,1250.0,99.21394,7.4,4.9,1.5,6.886,4.5,2.6,-0.10000000000000009,0.10000000000000053,0.26900000000000013,171.0,0.17501000000000033,-1.9000000000000004,3.5000000000000004,-0.8999999999999999,-0.1719999999999997,0.0,-0.10000000000000009,413.8108321665056,83.32801284524206,6.5,0.03039728357401454,0.1153432679923985,0.0
1992-04-01,1.0,1.0,0.0,0.0,2.99,7.4,12.824,1297.0,99.38452,7.4,4.9,1.5,6.886,4.0,2.6,0.0900000000000003,0.0,-0.10299999999999976,47.0,0.17058000000000106,0.0,0.0,0.0,0.0,0.0,0.0,411.5731042735668,89.36341517644478,6.5,-0.14042353613451442,0.0330609510999938,0.0
1992-05-20,1.0,1.0,0.0,0.0,2.8,7.6,13.098,1214.0,99.63816,0.2,4.4,2.4,6.814,4.0,2.9,-0.14000000000000012,0.1999999999999993,0.548,115.0,0.09863,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,405.89742584760177,90.17209223836973,6.5,0.272433625862574,-0.04108019971681405,0.0
1992-07-02,1.0,1.0,0.0,0.0,2.8,7.8,13.543,1145.0,99.66827,0.2,4.4,2.4,6.814,3.75,3.1,0.0,0.20000000000000018,0.4449999999999985,-69.0,0.03011000000000763,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,416.81194972659654,88.37665549886351,6.5,-0.34662173068481805,-0.09854006484825854,0.0
1992-08-19,1.0,1.0,0.0,-1.0,2.75,7.6,12.873,1226.0,99.64877,8.8,4.0,2.0,6.735,3.25,2.8,-0.06999999999999984,-0.10000000000000053,0.019999999999999574,87.0,-0.009309999999999263,0.0,0.0,0.0,0.0,0.0,0.09999999999999964,412.777211046385,82.43773558081651,6.0,0.22354190308042513,-0.01889890345131479,0.0
1992-10-07,1.0,1.0,0.0,0.0,2.64,7.3,13.655,1244.0,99.78661,2.0,4.2,2.8,6.584,3.25,2.8,-0.10999999999999988,-0.2999999999999998,0.782,18.0,0.13783999999999708,-6.800000000000001,0.20000000000000018,0.7999999999999998,-0.1510000000000007,0.0,0.0,416.858218628355,78.68860546470934,6.0,0.008162133618930015,0.13252091092099716,0.0
1992-11-18,1.0,1.0,0.0,0.0,2.61,7.4,13.218,1214.0,99.9353,2.0,4.2,2.8,6.584,3.0,2.9,-0.03000000000000025,0.10000000000000053,-0.4369999999999994,-30.0,0.148690000000002,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,406.01972594576847,83.35728111665838,6.0,0.44962342159257995,0.17607495776452253,0.0
1992-12-23,1.0,1.0,0.0,0.0,2.5,7.4,13.784,1227.0,100.0685,2.0,4.2,2.8,6.584,3.0,2.8,-0.10999999999999988,0.0,0.5660000000000007,13.0,0.1332000000000022,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,420.50985675240224,90.15766680780604,6.0,0.45865346662674156,-0.003968698056317458,0.0
1993-02-04,1.0,0.0,0.0,0.0,2.51,7.1,12.969,1210.0,100.1166,0.9,0.7,2.3,6.508,3.0,3.2,0.009999999999999787,-0.3000000000000007,-0.8150000000000013,-17.0,0.04810000000000514,-1.1,-3.5,-0.5,-0.07599999999999962,0.0,0.40000000000000036,435.74208573929525,92.20724771745529,6.0,0.025310152166811793,0.0005400747372298658,0.0
1993-03-24,1.0,0.0,0.0,0.0,2.45,7.0,13.326,1083.0,100.0243,0.9,0.7,2.3,6.508,3.0,3.1,-0.05999999999999961,-0.09999999999999964,0.3570000000000011,-127.0,-0.09230000000000871,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,438.0398215051312,93.79567923196932,6.0,0.3537769703084174,0.000752639770507774,0.0
1993-05-19,1.0,0.0,0.0,0.0,2.57,7.1,14.519,1260.0,99.73032,4.9,2.3,2.4,6.406,3.0,2.9,0.04999999999999982,0.0,-0.007999999999999119,2.0,-0.1581599999999952,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,444.55205713996486,90.95864060033074,6.0,-0.10616388619984461,-0.04129790861016787,0.0
1993-07-08,1.0,0.0,0.0,0.0,2.5,6.9,14.451,1254.0,99.52399,-1.1,1.9,2.4,6.289,3.0,3.0,-0.06999999999999984,-0.1999999999999993,-0.06799999999999962,-6.0,-0.20633000000000834,-6.0,-0.3999999999999999,0.0,-0.11699999999999999,0.0,0.10000000000000009,450.6082234133412,88.90801310788464,6.0,-0.12370389081044535,0.13435549054827003,0.0
1993-08-18,1.0,0.0,0.0,0.0,2.49,6.8,13.584,1300.0,99.53692,-1.1,1.9,2.4,6.289,3.0,3.2,-0.009999999999999787,-0.10000000000000053,-0.8670000000000009,46.0,0.012929999999997221,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,446.0521198764495,94.41352065348876,6.0,0.0979671411813347,0.012531279188415158,0.0
1993-09-22,1.0,0.0,0.0,0.0,2.53,6.7,13.99,1343.0,99.64192,-1.1,1.9,2.4,6.289,3.0,3.0,0.03999999999999959,-0.09999999999999964,0.4060000000000006,43.0,0.10500000000000398,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,452.75495511895684,95.17087033899818,6.0,0.25995955517067726,-0.11401908688428927,0.0
1993-11-17,1.0,0.0,0.0,0.0,2.43,6.6,14.882,1376.0,100.0666,13.5,5.6,2.2,6.25,3.0,2.8,-0.06000000000000005,-0.20000000000000018,-0.028999999999999915,-16.0,0.23767999999999745,0.0,0.0,0.0,0.0,0.0,-0.5,463.5449418656087,91.93536536452663,6.0,0.019008920915450738,0.09467074164945474,0.0
1993-12-22,1.0,0.0,0.0,0.0,2.4,6.5,15.004,1533.0,100.3299,13.5,5.6,2.2,6.25,3.0,3.0,-0.03000000000000025,-0.09999999999999964,0.12199999999999989,157.0,0.263300000000001,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,462.84658781576655,95.25884948624136,6.0,0.047341413863445286,0.014545331682477493,0.0
1994-02-04,1.0,0.0,0.0,0.0,2.35,6.6,15.52,1337.0,100.7775,4.0,3.9,1.9,6.264,3.0,2.8,-0.04999999999999982,0.09999999999999964,0.516,-196.0,0.44760000000000844,-9.5,-1.6999999999999997,-0.30000000000000027,0.014000000000000234,0.0,-0.20000000000000018,466.1384358156849,95.8802087763876,6.0,0.30100515013372475,0.016196862995001546,0.0
