"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1989-12",102.1895,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-01",102.0681,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-02",101.9462,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-03",101.8657,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-04",101.7576,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-05",101.6233,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-06",101.4693,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-07",101.2533,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-08",100.9513,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-09",100.6872,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-10",100.4695,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-11",100.2537,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1990-12",100.0871,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-01",99.905,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-02",99.94353,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-03",100.1545,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-04",100.2247,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-05",100.2335,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-06",100.1341,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-07",99.94671,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-08",99.80091,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-09",99.76064,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-10",99.73859,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-11",99.78254,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1991-12",99.80795,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-01",99.75656,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-02",99.74477,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-03",99.8399,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-04",99.92739,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-05",100.0643,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-06",100.2758,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-07",100.3899,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-08",100.4042,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-09",100.3142,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-10",100.0991,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-11",99.85487,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1992-12",99.7057,
