,coef_size
ue,1.6309110073872886
potus_party,1.5204112596410244
b0_spx,1.4893801824027761
pce,1.4251804827419274
veloc,1.4111291159013382
house,1.2777563913720156
cars,1.257991403952131
cli,1.1258114534629873
gdpd,1.0340482413735144
b0_loan,0.9275652547091158
ffr,0.9005459771618304
b0_usd,0.6449192698475069
mom,0.6220470608468983
d_cars,0.5968262357174152
rgdp,0.5732208495317761
exports,0.5474167962744433
fed_party,0.515992939412165
mich,0.49409396264779665
d_veloc,0.4200279749817192
d_ue,0.3995711815823816
recess,0.37042430023449213
b1_usd,0.32724369848359036
d_exports,0.28783309952018393
d_cli,0.28741113083160447
d_ffr,0.26902677580068357
d_rgdp,0.2333103386906937
d_mich,0.2310722963690027
b1_loan,0.1705308004857865
d_house,0.1666656260727346
d_pce,0.11487097034056126
d_gdpd,0.06527844703580117
b1_spx,0.04507987468532353
