,ffr,change,decision,loan,exports,pce,ue,rgdp,cars,recess,gdpg,veloc,house,cli,spx,usd,fed_party,potus_party
1/1/1989,,,,,,,,,,,,,,,,,,
1/2/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,,,,
1/3/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,,92.5,,
1/4/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,275.3099975585937,92.16999816894533,,
1/5/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,279.42999267578125,92.98000336,,
1/6/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,280.0100098,93.58999633789062,,
1/7/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,280.6700134277344,94.36000061035156,,
1/8/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,280.6700134277344,94.36000061035156,,
1/9/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,280.6700134277344,94.36000061035156,,
1/10/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,280.9800109863281,94.5,,
1/11/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,280.3800048828125,95.08999633789062,,
1/12/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,282.0100098,94.55000305,,
1/13/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,283.1700134277344,94.62999725341795,,
1/14/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,283.8699951171875,95.31999969482422,,
1/15/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,283.8699951171875,95.31999969482422,,
1/16/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,283.8699951171875,95.31999969482422,,
1/17/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,284.1400146484375,96.01000213623048,,
1/18/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,283.54998779296875,95.62000274658205,,
1/19/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,286.5299987792969,96.58000183105467,,
1/20/1989,,,,,12.5,4.05,5.4,4.1,15.372,0,4.2,7.028,1621,100.5312,286.9100036621094,95.83000183105467,1,1
