,ffr,change,decision,loan,exports,pce,ue,rgdp,cars,recess,gdpd,veloc,house,mich,cli,spx,usd,fed_party,potus_party
1989-06-30,9.25,-25.0,-1.0,11.0,18.7,4.13,5.3,3.1,14.384,0.0,4.3,7.233,1397.0,3.8,99.79815,319.67999267578125,102.33999633789062,1.0,1.0
1989-08-16,9.0,0.0,0.0,10.5,4.1,3.95,5.2,3.0,16.547,0.0,3.0,7.307,1332.0,3.5,99.68832,344.7099914550781,100.98999786376952,1.0,1.0
1989-09-27,9.0,0.0,0.0,10.5,4.1,3.8,5.3,3.0,15.66,0.0,3.0,7.307,1279.0,3.4,99.69093,344.3299865722656,99.1999969482422,1.0,1.0
1989-11-08,8.5,0.0,0.0,10.5,6.2,3.92,5.4,0.8,13.37,0.0,2.9,7.283,1351.0,3.5,99.72887,334.8099975585937,98.12000274658205,1.0,1.0
1989-12-13,8.25,-25.0,-1.0,10.5,6.2,3.94,5.4,0.8,13.55,0.0,2.9,7.283,1251.0,3.5,99.75903,351.7300109863281,94.66000366210938,1.0,1.0
1990-02-01,8.25,0.0,0.0,10.0,18.5,3.85,5.4,4.4,16.308,0.0,4.4,7.356,1551.0,4.1,99.79324,329.0799865722656,92.41000366210938,1.0,1.0
1990-03-21,8.25,0.0,0.0,10.0,18.5,3.95,5.2,4.4,14.486,0.0,4.4,7.356,1289.0,3.7,99.82265,341.57000732421875,94.29000091552734,1.0,1.0
1990-05-09,8.25,0.0,0.0,10.0,5.1,3.8,5.4,1.5,14.022,0.0,4.6,7.391,1212.0,3.4,99.5741,342.010009765625,91.98999786376952,1.0,1.0
1990-06-28,8.25,0.0,0.0,10.0,5.1,3.94,5.2,1.5,14.149,0.0,4.6,7.391,1177.0,3.8,99.28502,355.1400146484375,91.44000244140624,1.0,1.0
1990-08-15,8.0,0.0,0.0,10.0,3.1,4.14,5.7,0.3,13.859,1.0,3.5,7.377,1115.0,4.6,98.40642,339.3900146484375,86.37999725341797,1.0,1.0
1990-09-26,8.0,0.0,0.0,10.0,3.1,4.13,5.9,0.3,14.298,1.0,3.5,7.377,1110.0,4.7,97.9221,308.260009765625,85.93000030517578,1.0,1.0
